WS,fuel,fcrew,ccrew,depr,total
316.2702702702702,28689.005517231337,34984.05921903914,24595.58206637056,80801.77949043218,169070.42629307322
323.2762762762763,28647.448194536802,34657.801149357445,24367.603528054206,80022.96406890257,167695.81694085101
330.28228228228227,28612.255634692556,34338.295421461364,24144.137030330443,79270.44465571184,166365.1327421962
337.2882882882883,28582.964006258568,34025.32236124979,23925.049722431304,78542.69163235882,165076.0277222985
344.2942942942943,28537.473369597144,33732.331871056675,23720.445516058266,77835.81306604344,163826.06382275553
351.3003003003003,28518.951949624698,33431.50939550011,23509.518826662264,77153.39520864771,162613.3753804348
358.30630630630634,28505.19686971333,33136.63117994521,23302.609830352107,76491.91217722921,161436.35005723988
365.3123123123123,28495.911524904273,32847.51587976247,23099.60463440643,75850.30142175277,160293.33346082596
372.3183183183183,28470.20339025064,32576.66964449652,22909.886395633584,75225.47225744634,159182.2316878271
379.3243243243243,28469.17365478947,32298.299175476648,22714.167597223244,74620.54221753938,158102.18264502875
386.33033033033036,28451.901949718944,32037.50434932913,22531.242236716378,74031.21657174152,157051.865107506
393.33633633633633,28458.196274929047,31769.270410205372,22342.423789522858,73459.59216875331,156029.48264341056
400.3423423423423,28293.60608474349,31616.978690282274,22240.376155877424,72869.52155074435,155020.48248164752
407.34834834834834,28288.46742878291,31368.295424163563,22065.55333152802,72327.16764104916,154049.48382552364
414.35435435435437,28305.46379448801,31112.433445399212,21885.078953395154,71800.20686797406,153103.18306125642
421.3603603603604,28325.255134461055,30861.202947819416,21707.78775791708,71286.9615548328,152181.20739503036
428.3663663663663,28328.992374350073,30625.603296088626,21541.913786842066,70785.55918749707,151282.0686447778
435.3723723723724,28189.865871420774,30485.703516339112,21447.63732433177,70269.59083470379,150392.79754679545
442.37837837837833,28199.843447052575,30256.454135668748,21286.022124151328,69792.37893128749,149534.69863816013
449.3843843843844,28230.2779774741,30020.38185108704,21119.07802507913,69327.70408366654,148697.4419373068
